rank,numero_cnj,pid,score,ano_cnj,classe_nome,composite,link
332,1012927-12.2025.4.01.3307,1287752,0.8577,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9627,https://voyager.was.dev.br/dashboard/processos/1287752/
333,1001294-83.2025.4.01.3507,1385962,0.8575,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9625,https://voyager.was.dev.br/dashboard/processos/1385962/
334,1010177-63.2023.4.01.4000,1385181,0.8873,2023,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9623,https://voyager.was.dev.br/dashboard/processos/1385181/
335,1023486-71.2024.4.01.3304,1373707,0.8722,2024,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9622,https://voyager.was.dev.br/dashboard/processos/1373707/
336,1000968-78.2024.4.01.3501,533575,0.8722,2024,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9622,https://voyager.was.dev.br/dashboard/processos/533575/
337,1024005-46.2024.4.01.3304,1373892,0.8722,2024,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9622,https://voyager.was.dev.br/dashboard/processos/1373892/
338,1098499-79.2024.4.01.3400,1260329,0.8721,2024,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9621,https://voyager.was.dev.br/dashboard/processos/1260329/
339,1120908-83.2023.4.01.3400,1642435,0.8871,2023,CUMPRIMENTO DE SENTENÇA DE AÇÕES COLETIVAS,0.9621,https://voyager.was.dev.br/dashboard/processos/1642435/
340,1036157-92.2025.4.01.3304,1373763,0.8570,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9620,https://voyager.was.dev.br/dashboard/processos/1373763/
341,1027365-52.2025.4.01.3304,2414589,0.8570,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9620,https://voyager.was.dev.br/dashboard/processos/2414589/
342,1013624-28.2024.4.01.3902,1249866,0.8716,2024,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9616,https://voyager.was.dev.br/dashboard/processos/1249866/
343,1005475-03.2025.4.01.4001,1330608,0.8564,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9614,https://voyager.was.dev.br/dashboard/processos/1330608/
344,1010222-93.2025.4.01.4001,1402936,0.8564,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9614,https://voyager.was.dev.br/dashboard/processos/1402936/
345,1049512-19.2023.4.01.3700,1418951,0.8862,2023,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9612,https://voyager.was.dev.br/dashboard/processos/1418951/
346,1015631-67.2021.4.01.3200,416108,0.9160,2021,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9610,https://voyager.was.dev.br/dashboard/processos/416108/
347,1004091-78.2025.4.01.4300,1261545,0.8558,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9608,https://voyager.was.dev.br/dashboard/processos/1261545/
348,1021337-08.2024.4.01.3400,1642428,0.8708,2024,CUMPRIMENTO DE SENTENÇA DE AÇÕES COLETIVAS,0.9608,https://voyager.was.dev.br/dashboard/processos/1642428/
